0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:31:45 +0530] "GET /Hello/idexcss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:34:09 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:34:09 +0530] "GET /Hello/idexcss.css HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:39:23 +0530] "GET /Hello/index.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:39:23 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:55 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:55 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:56 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:57 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:57 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:58 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:41:58 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:42:07 +0530] "GET /Hello/index.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:49:25 +0530] "GET /Hello/index.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:49:25 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:49:47 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:49:49 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:50:00 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:50:00 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:50:00 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:50:00 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:50:01 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:52:52 +0530] "GET /Hello/idea.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [03/Aug/2022:15:52:52 +0530] "GET /Hello/idexcss.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:11:08 +0530] "GET /Hello/index.html HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:11:08 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:11:49 +0530] "GET /Hello/index.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:11:51 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:12:25 +0530] "GET /Hello/index.html HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:13:50 +0530] "GET /Hello/index.html HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:13:50 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:15:23 +0530] "GET /Hello/index.html HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:33:23 +0530] "GET /Hello/NewFile.html HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:34:28 +0530] "GET /Hello/NewFile.html HTTP/1.1" 304 -
